District,Date,Month,Year,Visitors
Adilabad,01-01-2018,January,2018,320356
Adilabad,02-01-2018,February,2018,36550
Adilabad,03-01-2018,March,2018,23011
Adilabad,04-01-2018,April,2018,14183
Adilabad,05-01-2018,May,2018,8197
Adilabad,06-01-2018,June,2018,12052
Adilabad,07-01-2018,July,2018,24666
Adilabad,08-01-2018,August,2018,38939
Adilabad,09-01-2018,September,2018,25875
Adilabad,10-01-2018,October,2018,30257
Adilabad,11-01-2018,November,2018,49181
Adilabad,12-01-2018,December,2018,61476
Bhadradri Kothagudem ,01-01-2018,January,2018,421275
Bhadradri Kothagudem ,02-01-2018,February,2018,240634
Bhadradri Kothagudem ,03-01-2018,March,2018,421275
Bhadradri Kothagudem ,04-01-2018,April,2018,341258
Bhadradri Kothagudem ,05-01-2018,May,2018,291273
Bhadradri Kothagudem ,06-01-2018,June,2018,290512
Bhadradri Kothagudem ,07-01-2018,July,2018,220304
Bhadradri Kothagudem ,08-01-2018,August,2018,219548
Bhadradri Kothagudem ,09-01-2018,September,2018,334878
Bhadradri Kothagudem ,10-01-2018,October,2018,322974
Bhadradri Kothagudem ,11-01-2018,November,2018,253464
Bhadradri Kothagudem ,12-01-2018,December,2018,442483
Hyderabad,01-01-2018,January,2018,1978396
Hyderabad,02-01-2018,February,2018,1365837
Hyderabad,03-01-2018,March,2018,1415938
Hyderabad,04-01-2018,April,2018,1586375
Hyderabad,05-01-2018,May,2018,1189492
Hyderabad,06-01-2018,June,2018,1595067
Hyderabad,07-01-2018,July,2018,1470042
Hyderabad,08-01-2018,August,2018,1591470
Hyderabad,09-01-2018,September,2018,1508086
Hyderabad,10-01-2018,October,2018,2207478
Hyderabad,11-01-2018,November,2018,1671320
Hyderabad,12-01-2018,December,2018,1964150
Jagtial ,01-01-2018,January,2018,614082
Jagtial ,02-01-2018,February,2018,349576
Jagtial ,03-01-2018,March,2018,416716
Jagtial ,04-01-2018,April,2018,372874
Jagtial ,05-01-2018,May,2018,641363
Jagtial ,06-01-2018,June,2018,182505
Jagtial ,07-01-2018,July,2018,182473
Jagtial ,08-01-2018,August,2018,272685
Jagtial ,09-01-2018,September,2018,273121
Jagtial ,10-01-2018,October,2018,138206
Jagtial ,11-01-2018,November,2018,277997
Jagtial ,12-01-2018,December,2018,231323
Jangaon ,01-01-2018,January,2018,17180
Jangaon ,02-01-2018,February,2018,18600
