District,Date,Month,Year,Visitors
Jangaon ,03-01-2018,March,2018,17300
Jangaon ,04-01-2018,April,2018,18100
Jangaon ,05-01-2018,May,2018,19660
Jangaon ,06-01-2018,June,2018,23050
Jangaon ,07-01-2018,July,2018,26280
Jangaon ,08-01-2018,August,2018,26020
Jangaon ,09-01-2018,September,2018,28830
Jangaon ,10-01-2018,October,2018,29470
Jangaon ,11-01-2018,November,2018,29570
Jangaon ,12-01-2018,December,2018,36962
Jayashankar Bhoopalpally,01-01-2018,January,2018,6519850
Jayashankar Bhoopalpally,02-01-2018,February,2018,8626250
Jayashankar Bhoopalpally,03-01-2018,March,2018,146150
Jayashankar Bhoopalpally,04-01-2018,April,2018,149150
Jayashankar Bhoopalpally,05-01-2018,May,2018,152050
Jayashankar Bhoopalpally,06-01-2018,June,2018,159400
Jayashankar Bhoopalpally,07-01-2018,July,2018,128550
Jayashankar Bhoopalpally,08-01-2018,August,2018,184700
Jayashankar Bhoopalpally,09-01-2018,September,2018,192300
Jayashankar Bhoopalpally,10-01-2018,October,2018,195400
Jayashankar Bhoopalpally,11-01-2018,November,2018,196500
Jayashankar Bhoopalpally,12-01-2018,December,2018,245625
Jogulamba Gadwal ,01-01-2018,January,2018,146441
Jogulamba Gadwal ,02-01-2018,February,2018,481110
Jogulamba Gadwal ,03-01-2018,March,2018,155013
Jogulamba Gadwal ,04-01-2018,April,2018,138673
Jogulamba Gadwal ,05-01-2018,May,2018,131426
Jogulamba Gadwal ,06-01-2018,June,2018,160182
Jogulamba Gadwal ,07-01-2018,July,2018,114951
Jogulamba Gadwal ,08-01-2018,August,2018,123733
Jogulamba Gadwal ,09-01-2018,September,2018,121710
Jogulamba Gadwal ,10-01-2018,October,2018,152898
Jogulamba Gadwal ,11-01-2018,November,2018,128075
Jogulamba Gadwal ,12-01-2018,December,2018,182333
Kamareddy ,01-01-2018,January,2018,44
Kamareddy ,02-01-2018,February,2018,44
Kamareddy ,03-01-2018,March,2018,45
Kamareddy ,04-01-2018,April,2018,45
Kamareddy ,05-01-2018,May,2018,49
Kamareddy ,06-01-2018,June,2018,56
Kamareddy ,07-01-2018,July,2018,48
Kamareddy ,08-01-2018,August,2018,55
Kamareddy ,09-01-2018,September,2018,40
Kamareddy ,10-01-2018,October,2018,62
Kamareddy ,11-01-2018,November,2018,41
Kamareddy ,12-01-2018,December,2018,43
Karimnagar ,01-01-2018,January,2018,13505
Karimnagar ,02-01-2018,February,2018,9330
Karimnagar ,03-01-2018,March,2018,7205
Karimnagar ,04-01-2018,April,2018,5830
Karimnagar ,05-01-2018,May,2018,5689
Karimnagar ,06-01-2018,June,2018,7180
Karimnagar ,07-01-2018,July,2018,6686
Karimnagar ,08-01-2018,August,2018,8480
Karimnagar ,09-01-2018,September,2018,8480
Karimnagar ,10-01-2018,October,2018,6118
Karimnagar ,11-01-2018,November,2018,7145
Karimnagar ,12-01-2018,December,2018,7800
Khammam,01-01-2018,January,2018,110094
Khammam,02-01-2018,February,2018,104444
Khammam,03-01-2018,March,2018,127152
Khammam,04-01-2018,April,2018,126553
Khammam,05-01-2018,May,2018,135189
Khammam,06-01-2018,June,2018,135988
Khammam,07-01-2018,July,2018,85932
Khammam,08-01-2018,August,2018,86309
Khammam,09-01-2018,September,2018,143465
Khammam,10-01-2018,October,2018,127645
Khammam,11-01-2018,November,2018,99070
Khammam,12-01-2018,December,2018,135600
Komaram Bheem Asifabad,01-01-2018,January,2018,2863
Komaram Bheem Asifabad,02-01-2018,February,2018,2736
Komaram Bheem Asifabad,03-01-2018,March,2018,1826
Komaram Bheem Asifabad,04-01-2018,April,2018,868
Komaram Bheem Asifabad,05-01-2018,May,2018,793
Komaram Bheem Asifabad,06-01-2018,June,2018,990
Komaram Bheem Asifabad,07-01-2018,July,2018,1954
Komaram Bheem Asifabad,08-01-2018,August,2018,2263
Komaram Bheem Asifabad,09-01-2018,September,2018,1819
Komaram Bheem Asifabad,10-01-2018,October,2018,2525
Komaram Bheem Asifabad,11-01-2018,November,2018,1741
Komaram Bheem Asifabad,12-01-2018,December,2018,2176
Mahabubabad ,01-01-2018,January,2018,14000
Mahabubabad ,02-01-2018,February,2018,14230
Mahabubabad ,03-01-2018,March,2018,13110
Mahabubabad ,04-01-2018,April,2018,12915
Mahabubabad ,05-01-2018,May,2018,12865
Mahabubabad ,06-01-2018,June,2018,13910
Mahabubabad ,07-01-2018,July,2018,13970
Mahabubabad ,08-01-2018,August,2018,13200
Mahabubabad ,09-01-2018,September,2018,13420
Mahabubabad ,10-01-2018,October,2018,13550
Mahabubabad ,11-01-2018,November,2018,13700
Mahabubabad ,12-01-2018,December,2018,17125
Mahbubnagar,01-01-2018,January,2018,156153
Mahbubnagar,02-01-2018,February,2018,788083
Mahbubnagar,03-01-2018,March,2018,166863
Mahbubnagar,04-01-2018,April,2018,196061
Mahbubnagar,05-01-2018,May,2018,193478
Mahbubnagar,06-01-2018,June,2018,165553
Mahbubnagar,07-01-2018,July,2018,161841
Mahbubnagar,08-01-2018,August,2018,169154
Mahbubnagar,09-01-2018,September,2018,167833
Mahbubnagar,10-01-2018,October,2018,193152
Mahbubnagar,11-01-2018,November,2018,295910
Mahbubnagar,12-01-2018,December,2018,198227
Mancherial,01-01-2018,January,2018,71955
Mancherial,02-01-2018,February,2018,38599
Mancherial,03-01-2018,March,2018,20749
Mancherial,04-01-2018,April,2018,38483
Mancherial,05-01-2018,May,2018,26179
Mancherial,06-01-2018,June,2018,31667
Mancherial,07-01-2018,July,2018,27937
Mancherial,08-01-2018,August,2018,31861
Mancherial,09-01-2018,September,2018,23141
Mancherial,10-01-2018,October,2018,30740
Mancherial,11-01-2018,November,2018,25197
Mancherial,12-01-2018,December,2018,31496
Medak ,01-01-2018,January,2018,100000
Medak ,02-01-2018,February,2018,1000000
Medak ,03-01-2018,March,2018,600000
Medak ,04-01-2018,April,2018,200000
Medak ,05-01-2018,May,2018,300000
Medak ,06-01-2018,June,2018,500000
Medak ,07-01-2018,July,2018,150000
Medak ,08-01-2018,August,2018,50000
Medak ,09-01-2018,September,2018,100000
Medak ,10-01-2018,October,2018,300000
Medak ,11-01-2018,November,2018,200000
Medak ,12-01-2018,December,2018,400000
Medchal ,01-01-2018,January,2018, 
Medchal ,02-01-2018,February,2018, 
Medchal ,03-01-2018,March,2018, 
Medchal ,04-01-2018,April,2018, 
Medchal ,05-01-2018,May,2018, 
Medchal ,06-01-2018,June,2018, 
Medchal ,07-01-2018,July,2018, 
Medchal ,08-01-2018,August,2018, 
Medchal ,09-01-2018,September,2018, 
Medchal ,10-01-2018,October,2018, 
Medchal ,11-01-2018,November,2018, 
Medchal ,12-01-2018,December,2018, 
Nagarkurnool ,01-01-2018,January,2018,228812
Nagarkurnool ,02-01-2018,February,2018,286258
Nagarkurnool ,03-01-2018,March,2018,184508
Nagarkurnool ,04-01-2018,April,2018,174592
Nagarkurnool ,05-01-2018,May,2018,183697
Nagarkurnool ,06-01-2018,June,2018,180010
Nagarkurnool ,07-01-2018,July,2018,93450
Nagarkurnool ,08-01-2018,August,2018,118010
Nagarkurnool ,09-01-2018,September,2018,118449
Nagarkurnool ,10-01-2018,October,2018,201050
Nagarkurnool ,11-01-2018,November,2018,121452
Nagarkurnool ,12-01-2018,December,2018,198637
Nalgonda,01-01-2018,January,2018,36205
Nalgonda,02-01-2018,February,2018,9971
Nalgonda,03-01-2018,March,2018,9677
Nalgonda,04-01-2018,April,2018,9779
Nalgonda,05-01-2018,May,2018,10241
Nalgonda,06-01-2018,June,2018,9066
Nalgonda,07-01-2018,July,2018,9668
Nalgonda,08-01-2018,August,2018,10135
Nalgonda,09-01-2018,September,2018,21365
Nalgonda,10-01-2018,October,2018,22332
Nalgonda,11-01-2018,November,2018,5422
Nalgonda,12-01-2018,December,2018,6777
Nirmal,01-01-2018,January,2018,480241
Nirmal,02-01-2018,February,2018,335447
Nirmal,03-01-2018,March,2018,328099
Nirmal,04-01-2018,April,2018,368645
Nirmal,05-01-2018,May,2018,342650
Nirmal,06-01-2018,June,2018,355197
Nirmal,07-01-2018,July,2018,335356
Nirmal,08-01-2018,August,2018,313910
Nirmal,09-01-2018,September,2018,293859
Nirmal,10-01-2018,October,2018,373291
Nirmal,11-01-2018,November,2018,289169
Nirmal,12-01-2018,December,2018,361461
Nizamabad,01-01-2018,January,2018,2495
Nizamabad,02-01-2018,February,2018,7152
Nizamabad,03-01-2018,March,2018,2903
Nizamabad,04-01-2018,April,2018,3550
Nizamabad,05-01-2018,May,2018,5360
Nizamabad,06-01-2018,June,2018,1761
Nizamabad,07-01-2018,July,2018,5882
Nizamabad,08-01-2018,August,2018,10525
Nizamabad,09-01-2018,September,2018,475
Nizamabad,10-01-2018,October,2018,490
Nizamabad,11-01-2018,November,2018,475
Nizamabad,12-01-2018,December,2018,355
Peddapalli,01-01-2018,January,2018,2670
Peddapalli,02-01-2018,February,2018,2695
Peddapalli,03-01-2018,March,2018,2325
Peddapalli,04-01-2018,April,2018,1940
Peddapalli,05-01-2018,May,2018,1499
Peddapalli,06-01-2018,June,2018,1580
Peddapalli,07-01-2018,July,2018,1580
Peddapalli,08-01-2018,August,2018,1595
Peddapalli,09-01-2018,September,2018,1475
Peddapalli,10-01-2018,October,2018,1545
Peddapalli,11-01-2018,November,2018,1655
Peddapalli,12-01-2018,December,2018,1695
Rajanna Sircilla ,01-01-2018,January,2018,2238074
Rajanna Sircilla ,02-01-2018,February,2018,1021787
Rajanna Sircilla ,03-01-2018,March,2018,1022669
Rajanna Sircilla ,04-01-2018,April,2018,833874
Rajanna Sircilla ,05-01-2018,May,2018,1021952
Rajanna Sircilla ,06-01-2018,June,2018,320886
Rajanna Sircilla ,07-01-2018,July,2018,937720
Rajanna Sircilla ,08-01-2018,August,2018,320952
Rajanna Sircilla ,09-01-2018,September,2018,818693
Rajanna Sircilla ,10-01-2018,October,2018,506563
Rajanna Sircilla ,11-01-2018,November,2018,840933
Rajanna Sircilla ,12-01-2018,December,2018,950128
Ranga Reddy,01-01-2018,January,2018, 
Ranga Reddy,02-01-2018,February,2018, 
Ranga Reddy,03-01-2018,March,2018, 
Ranga Reddy,04-01-2018,April,2018, 
Ranga Reddy,05-01-2018,May,2018, 
Ranga Reddy,06-01-2018,June,2018, 
Ranga Reddy,07-01-2018,July,2018, 
Ranga Reddy,08-01-2018,August,2018, 
Ranga Reddy,09-01-2018,September,2018, 
Ranga Reddy,10-01-2018,October,2018, 
Ranga Reddy,11-01-2018,November,2018, 
Ranga Reddy,12-01-2018,December,2018, 
Sangareddy ,01-01-2018,January,2018,254000
Sangareddy ,02-01-2018,February,2018,540000
Sangareddy ,03-01-2018,March,2018,158500
Sangareddy ,04-01-2018,April,2018,162500
Sangareddy ,05-01-2018,May,2018,157000
Sangareddy ,06-01-2018,June,2018,93500
Sangareddy ,07-01-2018,July,2018,108600
Sangareddy ,08-01-2018,August,2018,205000
Sangareddy ,09-01-2018,September,2018,125000
Sangareddy ,10-01-2018,October,2018,171800
Sangareddy ,11-01-2018,November,2018,160000
Sangareddy ,12-01-2018,December,2018,134000
Siddipet,01-01-2018,January,2018,253000
Siddipet,02-01-2018,February,2018,44000
Siddipet,03-01-2018,March,2018,164800
Siddipet,04-01-2018,April,2018,115000
Siddipet,05-01-2018,May,2018,165200
Siddipet,06-01-2018,June,2018,104300
Siddipet,07-01-2018,July,2018,54000
Siddipet,08-01-2018,August,2018,100000
Siddipet,09-01-2018,September,2018,55000
Siddipet,10-01-2018,October,2018,43000
Siddipet,11-01-2018,November,2018,135000
Siddipet,12-01-2018,December,2018,50000
Suryapet,01-01-2018,January,2018,
Suryapet,02-01-2018,February,2018,
Suryapet,03-01-2018,March,2018,
Suryapet,04-01-2018,April,2018,
Suryapet,05-01-2018,May,2018,
Suryapet,06-01-2018,June,2018,
Suryapet,07-01-2018,July,2018,
Suryapet,08-01-2018,August,2018,
Suryapet,09-01-2018,September,2018,
Suryapet,10-01-2018,October,2018,
Suryapet,11-01-2018,November,2018,
Suryapet,12-01-2018,December,2018,
Vikarabad,01-01-2018,January,2018, 
Vikarabad,02-01-2018,February,2018, 
Vikarabad,03-01-2018,March,2018, 
Vikarabad,04-01-2018,April,2018, 
Vikarabad,05-01-2018,May,2018, 
Vikarabad,06-01-2018,June,2018, 
Vikarabad,07-01-2018,July,2018, 
Vikarabad,08-01-2018,August,2018, 
Vikarabad,09-01-2018,September,2018, 
Vikarabad,10-01-2018,October,2018, 
Vikarabad,11-01-2018,November,2018, 
Vikarabad,12-01-2018,December,2018, 
Wanaparthy ,01-01-2018,January,2018,28131
Wanaparthy ,02-01-2018,February,2018,22341
Wanaparthy ,03-01-2018,March,2018,20050
Wanaparthy ,04-01-2018,April,2018,10550
Wanaparthy ,05-01-2018,May,2018,11502
Wanaparthy ,06-01-2018,June,2018,19092
Wanaparthy ,07-01-2018,July,2018,32625
Wanaparthy ,08-01-2018,August,2018,35860
Wanaparthy ,09-01-2018,September,2018,32002
Wanaparthy ,10-01-2018,October,2018,21234
Wanaparthy ,11-01-2018,November,2018,32657
Wanaparthy ,12-01-2018,December,2018,20556
Warangal (Rural),01-01-2018,January,2018,25200
Warangal (Rural),02-01-2018,February,2018,26300
Warangal (Rural),03-01-2018,March,2018,26200
Warangal (Rural),04-01-2018,April,2018,21600
Warangal (Rural),05-01-2018,May,2018,22100
Warangal (Rural),06-01-2018,June,2018,23100
Warangal (Rural),07-01-2018,July,2018,25900
Warangal (Rural),08-01-2018,August,2018,25700
Warangal (Rural),09-01-2018,September,2018,25800
Warangal (Rural),10-01-2018,October,2018,26000
Warangal (Rural),11-01-2018,November,2018,24050
Warangal (Rural),12-01-2018,December,2018,30062
Warangal (Urban),,January,,137530
Warangal (Urban),,February,,145750
Warangal (Urban),,March,,140300
Warangal (Urban),,April,,142510
Warangal (Urban),,May,,143425
Warangal (Urban),,June,,135615
Warangal (Urban),,July,,136560
Warangal (Urban),,August,,136760
Warangal (Urban),,September,,138780
Warangal (Urban),,October,,140948
Warangal (Urban),,November,,144515
Warangal (Urban),,December,,180643
Yadadri Bhongir,,January,,2016000
Yadadri Bhongir,,February,,3073872
Yadadri Bhongir,,March,,2836580
Yadadri Bhongir,,April,,692370
Yadadri Bhongir,,May,,781842
Yadadri Bhongir,,June,,577570
Yadadri Bhongir,,July,,671156
Yadadri Bhongir,,August,,526445
Yadadri Bhongir,,September,,819350
Yadadri Bhongir,,October,,586475
Yadadri Bhongir,,November,,485208
Yadadri Bhongir,,December,,606510
