District,Date,Month,Year,Visitors
Adilabad,01-01-2019,January,2019,25071
Adilabad,02-01-2019,February,2019,406177
Adilabad,03-01-2019,March,2019,14347
Adilabad,04-01-2019,April,2019,9972
Adilabad,05-01-2019,May,2019,6997
Adilabad,06-01-2019,June,2019,9161
Adilabad,07-01-2019,July,2019,11791
Adilabad,08-01-2019,August,2019,108173
Adilabad,09-01-2019,September,2019,37589
Adilabad,10-01-2019,October,2019,38184
Adilabad,11-01-2019,November,2019,70344
Adilabad,12-01-2019,December,2019,38089
Bhadradri Kothagudem ,01-01-2019,January,2019,283365
Bhadradri Kothagudem ,02-01-2019,February,2019,229159
Bhadradri Kothagudem ,03-01-2019,March,2019,225448
Bhadradri Kothagudem ,04-01-2019,April,2019,349585
Bhadradri Kothagudem ,05-01-2019,May,2019,275800
Bhadradri Kothagudem ,06-01-2019,June,2019,9761776
Bhadradri Kothagudem ,07-01-2019,July,2019,233338
Bhadradri Kothagudem ,08-01-2019,August,2019,271941
Bhadradri Kothagudem ,09-01-2019,September,2019,314199
Bhadradri Kothagudem ,10-01-2019,October,2019,287432
Bhadradri Kothagudem ,11-01-2019,November,2019,298366
Bhadradri Kothagudem ,12-01-2019,December,2019,287328
Hyderabad,01-01-2019,January,2019,1426500
Hyderabad,02-01-2019,February,2019,983147
Hyderabad,03-01-2019,March,2019,1009991
Hyderabad,04-01-2019,April,2019,1045933
Hyderabad,05-01-2019,May,2019,1305748
Hyderabad,06-01-2019,June,2019,1262995
Hyderabad,07-01-2019,July,2019,1094861
Hyderabad,08-01-2019,August,2019,1121380
Hyderabad,09-01-2019,September,2019,959930
Hyderabad,10-01-2019,October,2019,1240643
Hyderabad,11-01-2019,November,2019,1073665
Hyderabad,12-01-2019,December,2019,1277569
Jagtial ,01-01-2019,January,2019,211913
Jagtial ,02-01-2019,February,2019,215105
Jagtial ,03-01-2019,March,2019,194090
Jagtial ,04-01-2019,April,2019,447226
Jagtial ,05-01-2019,May,2019,500206
Jagtial ,06-01-2019,June,2019,235363
Jagtial ,07-01-2019,July,2019,157419
Jagtial ,08-01-2019,August,2019,151570
Jagtial ,09-01-2019,September,2019,157564
Jagtial ,10-01-2019,October,2019,165070
Jagtial ,11-01-2019,November,2019,277630
Jagtial ,12-01-2019,December,2019,372959
Jangaon ,01-01-2019,January,2019,28750
Jangaon ,02-01-2019,February,2019,28810
Jangaon ,03-01-2019,March,2019,27300
Jangaon ,04-01-2019,April,2019,26160
Jangaon ,05-01-2019,May,2019,26740
Jangaon ,06-01-2019,June,2019,25820
Jangaon ,07-01-2019,July,2019,24160
Jangaon ,08-01-2019,August,2019,27800
Jangaon ,09-01-2019,September,2019,28640
Jangaon ,10-01-2019,October,2019,27840
Jangaon ,11-01-2019,November,2019,28410
Jangaon ,12-01-2019,December,2019,28460
Jayashankar Bhoopalpally,01-01-2019,January,2019,197430
Jayashankar Bhoopalpally,02-01-2019,February,2019,33500
Jayashankar Bhoopalpally,03-01-2019,March,2019,37500
