District,Date,Month,Year,Visitors
Mahbubnagar,09-01-2020,September,2020,135984
Mahbubnagar,10-01-2020,October,2020,94083
Mahbubnagar,11-01-2020,November,2020,98683
Mahbubnagar,12-01-2020,December,2020,111514
Mancherial,01-01-2020,January,2020,25661
Mancherial,02-01-2020,February,2020,41809
Mancherial,03-01-2020,March,2020,9855
Mancherial,04-01-2020,April,2020,
Mancherial,05-01-2020,May,2020,
Mancherial,06-01-2020,June,2020,210
Mancherial,07-01-2020,July,2020,290
Mancherial,08-01-2020,August,2020,302
Mancherial,09-01-2020,September,2020,2758
Mancherial,10-01-2020,October,2020,4745
Mancherial,11-01-2020,November,2020,6717
Mancherial,12-01-2020,December,2020,10439
Medak ,01-01-2020,January,2020,286340
Medak ,02-01-2020,February,2020,818750
Medak ,03-01-2020,March,2020,288800
Medak ,04-01-2020,April,2020,
Medak ,05-01-2020,May,2020,
Medak ,06-01-2020,June,2020,5300
Medak ,07-01-2020,July,2020,4325
Medak ,08-01-2020,August,2020,15380
Medak ,09-01-2020,September,2020,15880
Medak ,10-01-2020,October,2020,17380
Medak ,11-01-2020,November,2020,45000
Medak ,12-01-2020,December,2020,55000
Medchal ,01-01-2020,January,2020, 
Medchal ,02-01-2020,February,2020, 
Medchal ,03-01-2020,March,2020, 
Medchal ,04-01-2020,April,2020, 
Medchal ,05-01-2020,May,2020, 
Medchal ,06-01-2020,June,2020, 
Medchal ,07-01-2020,July,2020, 
Medchal ,08-01-2020,August,2020, 
Medchal ,09-01-2020,September,2020, 
Medchal ,10-01-2020,October,2020, 
Medchal ,11-01-2020,November,2020, 
Medchal ,12-01-2020,December,2020, 
Mulugu,01-01-2020,January,2020,3653000
Mulugu,02-01-2020,February,2020,9157200
Mulugu,03-01-2020,March,2020,118500
Mulugu,04-01-2020,April,2020,
Mulugu,05-01-2020,May,2020,
Mulugu,06-01-2020,June,2020,
Mulugu,07-01-2020,July,2020,4550
Mulugu,08-01-2020,August,2020,8300
Mulugu,09-01-2020,September,2020,11300
Mulugu,10-01-2020,October,2020,17600
Mulugu,11-01-2020,November,2020,57200
Mulugu,12-01-2020,December,2020,60900
Nagarkurnool ,01-01-2020,January,2020,228812
Nagarkurnool ,02-01-2020,February,2020,286258
Nagarkurnool ,03-01-2020,March,2020,32333
Nagarkurnool ,04-01-2020,April,2020,
Nagarkurnool ,05-01-2020,May,2020,
Nagarkurnool ,06-01-2020,June,2020,34508
Nagarkurnool ,07-01-2020,July,2020,66655
Nagarkurnool ,08-01-2020,August,2020,80155
Nagarkurnool ,09-01-2020,September,2020,175712
Nagarkurnool ,10-01-2020,October,2020,95788
Nagarkurnool ,11-01-2020,November,2020,77869
Nagarkurnool ,12-01-2020,December,2020,85280
Nalgonda,01-01-2020,January,2020,10127
Nalgonda,02-01-2020,February,2020,9154
Nalgonda,03-01-2020,March,2020,772
Nalgonda,04-01-2020,April,2020,
Nalgonda,05-01-2020,May,2020,
Nalgonda,06-01-2020,June,2020,218
Nalgonda,07-01-2020,July,2020,224
Nalgonda,08-01-2020,August,2020,558
Nalgonda,09-01-2020,September,2020,2480
Nalgonda,10-01-2020,October,2020,8541
Nalgonda,11-01-2020,November,2020,6242
Nalgonda,12-01-2020,December,2020,8514
Narayanapet,01-01-2020,January,2020,47272
Narayanapet,02-01-2020,February,2020,244657
Narayanapet,03-01-2020,March,2020,21907
Narayanapet,04-01-2020,April,2020,
Narayanapet,05-01-2020,May,2020,
Narayanapet,06-01-2020,June,2020,20907
Narayanapet,07-01-2020,July,2020,39820
Narayanapet,08-01-2020,August,2020,34777
Narayanapet,09-01-2020,September,2020,62841
Narayanapet,10-01-2020,October,2020,52309
Narayanapet,11-01-2020,November,2020,49597
Narayanapet,12-01-2020,December,2020,56031
Nirmal,01-01-2020,January,2020,368292
Nirmal,02-01-2020,February,2020,299646
Nirmal,03-01-2020,March,2020,253116
Nirmal,04-01-2020,April,2020,
Nirmal,05-01-2020,May,2020,
Nirmal,06-01-2020,June,2020,5040
Nirmal,07-01-2020,July,2020,9212
Nirmal,08-01-2020,August,2020,10336
Nirmal,09-01-2020,September,2020,13377
Nirmal,10-01-2020,October,2020,28586
Nirmal,11-01-2020,November,2020,73126
Nirmal,12-01-2020,December,2020,110808
Nizamabad,01-01-2020,January,2020,7540
Nizamabad,02-01-2020,February,2020,6400
Nizamabad,03-01-2020,March,2020,6750
Nizamabad,04-01-2020,April,2020,
Nizamabad,05-01-2020,May,2020,
Nizamabad,06-01-2020,June,2020,
Nizamabad,07-01-2020,July,2020,1620
Nizamabad,08-01-2020,August,2020,2020
Nizamabad,09-01-2020,September,2020,10050
Nizamabad,10-01-2020,October,2020,6310
Nizamabad,11-01-2020,November,2020,10900
Nizamabad,12-01-2020,December,2020,40400
Peddapalli,01-01-2020,January,2020,2945
Peddapalli,02-01-2020,February,2020,2315
Peddapalli,03-01-2020,March,2020,1450
Peddapalli,04-01-2020,April,2020,
Peddapalli,05-01-2020,May,2020,
Peddapalli,06-01-2020,June,2020,445
Peddapalli,07-01-2020,July,2020,250
Peddapalli,08-01-2020,August,2020,1250
Peddapalli,09-01-2020,September,2020,800
Peddapalli,10-01-2020,October,2020,600
Peddapalli,11-01-2020,November,2020,650
Peddapalli,12-01-2020,December,2020,1105
Rajanna Sircilla ,01-01-2020,January,2020,2298291
Rajanna Sircilla ,02-01-2020,February,2020,963871
Rajanna Sircilla ,03-01-2020,March,2020,885559
Rajanna Sircilla ,04-01-2020,April,2020,
Rajanna Sircilla ,05-01-2020,May,2020,
Rajanna Sircilla ,06-01-2020,June,2020,76026
Rajanna Sircilla ,07-01-2020,July,2020,60636
Rajanna Sircilla ,08-01-2020,August,2020,110783
Rajanna Sircilla ,09-01-2020,September,2020,121976
Rajanna Sircilla ,10-01-2020,October,2020,181929
Rajanna Sircilla ,11-01-2020,November,2020,391170
Rajanna Sircilla ,12-01-2020,December,2020,535298
Ranga Reddy,01-01-2020,January,2020, 
Ranga Reddy,02-01-2020,February,2020, 
Ranga Reddy,03-01-2020,March,2020, 
Ranga Reddy,04-01-2020,April,2020, 
Ranga Reddy,05-01-2020,May,2020, 
Ranga Reddy,06-01-2020,June,2020, 
Ranga Reddy,07-01-2020,July,2020, 
Ranga Reddy,08-01-2020,August,2020, 
Ranga Reddy,09-01-2020,September,2020, 
Ranga Reddy,10-01-2020,October,2020, 
Ranga Reddy,11-01-2020,November,2020, 
Ranga Reddy,12-01-2020,December,2020, 
Sangareddy ,01-01-2020,January,2020,213000
Sangareddy ,02-01-2020,February,2020,755000
Sangareddy ,03-01-2020,March,2020,235000
Sangareddy ,04-01-2020,April,2020,
Sangareddy ,05-01-2020,May,2020,
Sangareddy ,06-01-2020,June,2020,9500
Sangareddy ,07-01-2020,July,2020,27400
Sangareddy ,08-01-2020,August,2020,45400
Sangareddy ,09-01-2020,September,2020,47900
Sangareddy ,10-01-2020,October,2020,55400
Sangareddy ,11-01-2020,November,2020,149000
Sangareddy ,12-01-2020,December,2020,167000
Siddipet,01-01-2020,January,2020,473350
Siddipet,02-01-2020,February,2020,204885
Siddipet,03-01-2020,March,2020,123000
Siddipet,04-01-2020,April,2020,
Siddipet,05-01-2020,May,2020,
Siddipet,06-01-2020,June,2020,19846
Siddipet,07-01-2020,July,2020,23864
Siddipet,08-01-2020,August,2020,27307
Siddipet,09-01-2020,September,2020,30980
Siddipet,10-01-2020,October,2020,73367
Siddipet,11-01-2020,November,2020,72049
Siddipet,12-01-2020,December,2020,173000
Suryapet,01-01-2020,January,2020, 
Suryapet,02-01-2020,February,2020, 
Suryapet,03-01-2020,March,2020, 
Suryapet,04-01-2020,April,2020, 
Suryapet,05-01-2020,May,2020, 
Suryapet,06-01-2020,June,2020, 
Suryapet,07-01-2020,July,2020, 
Suryapet,08-01-2020,August,2020, 
Suryapet,09-01-2020,September,2020, 
Suryapet,10-01-2020,October,2020, 
Suryapet,11-01-2020,November,2020, 
Suryapet,12-01-2020,December,2020, 
Vikarabad,01-01-2020,January,2020, 
Vikarabad,02-01-2020,February,2020, 
Vikarabad,03-01-2020,March,2020, 
Vikarabad,04-01-2020,April,2020, 
Vikarabad,05-01-2020,May,2020, 
Vikarabad,06-01-2020,June,2020, 
Vikarabad,07-01-2020,July,2020, 
Vikarabad,08-01-2020,August,2020, 
Vikarabad,09-01-2020,September,2020, 
Vikarabad,10-01-2020,October,2020, 
Vikarabad,11-01-2020,November,2020, 
Vikarabad,12-01-2020,December,2020, 
Wanaparthy ,,January,,28131
Wanaparthy ,,February,,22342
Wanaparthy ,,March,,7050
Wanaparthy ,,April,,
Wanaparthy ,,May,,
Wanaparthy ,,June,,4050
Wanaparthy ,,July,,17092
Wanaparthy ,,August,,30860
Wanaparthy ,,September,,21375
Wanaparthy ,,October,,29683
Wanaparthy ,,November,,29036
Wanaparthy ,,December,,27057
Warangal (Rural),,January,,31550
Warangal (Rural),,February,,31050
Warangal (Rural),,March,,26050
Warangal (Rural),,April,,
Warangal (Rural),,May,,
Warangal (Rural),,June,,
Warangal (Rural),,July,,560
Warangal (Rural),,August,,870
Warangal (Rural),,September,,1550
Warangal (Rural),,October,,2060
Warangal (Rural),,November,,7550
Warangal (Rural),,December,,7530
Warangal (Urban),,January,,157630
Warangal (Urban),,February,,157950
Warangal (Urban),,March,,102520
Warangal (Urban),,April,,
Warangal (Urban),,May,,
Warangal (Urban),,June,,
Warangal (Urban),,July,,7300
Warangal (Urban),,August,,9150
Warangal (Urban),,September,,12050
Warangal (Urban),,October,,18350
Warangal (Urban),,November,,91120
Warangal (Urban),,December,,92455
Yadadri Bhongir,,January,,493002
Yadadri Bhongir,,February,,527311
Yadadri Bhongir,,March,,125380
Yadadri Bhongir,,April,,
Yadadri Bhongir,,May,,
Yadadri Bhongir,,June,,76480
Yadadri Bhongir,,July,,25375
Yadadri Bhongir,,August,,110587
Yadadri Bhongir,,September,,110595
Yadadri Bhongir,,October,,481320
Yadadri Bhongir,,November,,381150
Yadadri Bhongir,,December,,321254
