District,Date,Month,Year,Visitors
Adilabad,01-01-2020,January,2020,621850
Adilabad,02-01-2020,February,2020,29421
Adilabad,03-01-2020,March,2020,9430
Adilabad,04-01-2020,April,2020,
Adilabad,05-01-2020,May,2020,
Adilabad,06-01-2020,June,2020,1909
Adilabad,07-01-2020,July,2020,549
Adilabad,08-01-2020,August,2020,654
Adilabad,09-01-2020,September,2020,3978
Adilabad,10-01-2020,October,2020,15128
Adilabad,11-01-2020,November,2020,27525
Adilabad,12-01-2020,December,2020,61403
Bhadradri Kothagudem ,01-01-2020,January,2020,269310
Bhadradri Kothagudem ,02-01-2020,February,2020,238140
Bhadradri Kothagudem ,03-01-2020,March,2020,79871
Bhadradri Kothagudem ,04-01-2020,April,2020,
Bhadradri Kothagudem ,05-01-2020,May,2020,
Bhadradri Kothagudem ,06-01-2020,June,2020,15399
Bhadradri Kothagudem ,07-01-2020,July,2020,15130
Bhadradri Kothagudem ,08-01-2020,August,2020,26350
Bhadradri Kothagudem ,09-01-2020,September,2020,30957
Bhadradri Kothagudem ,10-01-2020,October,2020,49203
Bhadradri Kothagudem ,11-01-2020,November,2020,76900
Bhadradri Kothagudem ,12-01-2020,December,2020,80842
Hyderabad,01-01-2020,January,2020,1157153
Hyderabad,02-01-2020,February,2020,868641
Hyderabad,03-01-2020,March,2020,321650
Hyderabad,04-01-2020,April,2020,
Hyderabad,05-01-2020,May,2020,
Hyderabad,06-01-2020,June,2020,
Hyderabad,07-01-2020,July,2020,
Hyderabad,08-01-2020,August,2020,
Hyderabad,09-01-2020,September,2020,21861
Hyderabad,10-01-2020,October,2020,167510
Hyderabad,11-01-2020,November,2020,272276
Hyderabad,12-01-2020,December,2020,442895
Jagtial ,01-01-2020,January,2020,340174
Jagtial ,02-01-2020,February,2020,186484
Jagtial ,03-01-2020,March,2020,347014
Jagtial ,04-01-2020,April,2020,
Jagtial ,05-01-2020,May,2020,
Jagtial ,06-01-2020,June,2020,14228
Jagtial ,07-01-2020,July,2020,41752
Jagtial ,08-01-2020,August,2020,34496
Jagtial ,09-01-2020,September,2020,83012
Jagtial ,10-01-2020,October,2020,83004
Jagtial ,11-01-2020,November,2020,154438
Jagtial ,12-01-2020,December,2020,155757
Jangaon ,01-01-2020,January,2020,28150
Jangaon ,02-01-2020,February,2020,26390
Jangaon ,03-01-2020,March,2020,21430
Jangaon ,04-01-2020,April,2020,
Jangaon ,05-01-2020,May,2020,
Jangaon ,06-01-2020,June,2020,
Jangaon ,07-01-2020,July,2020,2600
Jangaon ,08-01-2020,August,2020,2750
Jangaon ,09-01-2020,September,2020,2700
Jangaon ,10-01-2020,October,2020,3050
Jangaon ,11-01-2020,November,2020,12070
Jangaon ,12-01-2020,December,2020,11860
Jayashankar Bhoopalpally,01-01-2020,January,2020,50500
Jayashankar Bhoopalpally,02-01-2020,February,2020,59000
Jayashankar Bhoopalpally,03-01-2020,March,2020,34200
Jayashankar Bhoopalpally,04-01-2020,April,2020,
Jayashankar Bhoopalpally,05-01-2020,May,2020,
Jayashankar Bhoopalpally,06-01-2020,June,2020,
Jayashankar Bhoopalpally,07-01-2020,July,2020,5600
Jayashankar Bhoopalpally,08-01-2020,August,2020,7000
Jayashankar Bhoopalpally,09-01-2020,September,2020,7600
Jayashankar Bhoopalpally,10-01-2020,October,2020,8000
Jayashankar Bhoopalpally,11-01-2020,November,2020,15000
Jayashankar Bhoopalpally,12-01-2020,December,2020,15200
Jogulamba Gadwal ,01-01-2020,January,2020,146441
Jogulamba Gadwal ,02-01-2020,February,2020,481110
Jogulamba Gadwal ,03-01-2020,March,2020,24013
Jogulamba Gadwal ,04-01-2020,April,2020,
Jogulamba Gadwal ,05-01-2020,May,2020,
Jogulamba Gadwal ,06-01-2020,June,2020,26013
Jogulamba Gadwal ,07-01-2020,July,2020,88182
Jogulamba Gadwal ,08-01-2020,August,2020,106925
Jogulamba Gadwal ,09-01-2020,September,2020,131485
Jogulamba Gadwal ,10-01-2020,October,2020,116753
Jogulamba Gadwal ,11-01-2020,November,2020,228325
Jogulamba Gadwal ,12-01-2020,December,2020,184380
Kamareddy ,01-01-2020,January,2020,45
Kamareddy ,02-01-2020,February,2020,42
Kamareddy ,03-01-2020,March,2020,30
Kamareddy ,04-01-2020,April,2020,
Kamareddy ,05-01-2020,May,2020,
Kamareddy ,06-01-2020,June,2020,
Kamareddy ,07-01-2020,July,2020,38
Kamareddy ,08-01-2020,August,2020,42
Kamareddy ,09-01-2020,September,2020,55
Kamareddy ,10-01-2020,October,2020,39
Kamareddy ,11-01-2020,November,2020,46
Kamareddy ,12-01-2020,December,2020,48
Karimnagar ,01-01-2020,January,2020,12057
Karimnagar ,02-01-2020,February,2020,8359
Karimnagar ,03-01-2020,March,2020,6100
Karimnagar ,04-01-2020,April,2020,
Karimnagar ,05-01-2020,May,2020,
Karimnagar ,06-01-2020,June,2020,540
Karimnagar ,07-01-2020,July,2020,850
Karimnagar ,08-01-2020,August,2020,2500
Karimnagar ,09-01-2020,September,2020,2250
Karimnagar ,10-01-2020,October,2020,3258
Karimnagar ,11-01-2020,November,2020,4100
Karimnagar ,12-01-2020,December,2020,4200
Khammam,01-01-2020,January,2020,114752
Khammam,02-01-2020,February,2020,114417
Khammam,03-01-2020,March,2020,57137
Khammam,04-01-2020,April,2020,
Khammam,05-01-2020,May,2020,
Khammam,06-01-2020,June,2020,12806
Khammam,07-01-2020,July,2020,9104
Khammam,08-01-2020,August,2020,7942
Khammam,09-01-2020,September,2020,9078
Khammam,10-01-2020,October,2020,27858
Khammam,11-01-2020,November,2020,40647
Khammam,12-01-2020,December,2020,37084
Komaram Bheem Asifabad,01-01-2020,January,2020,2463
Komaram Bheem Asifabad,02-01-2020,February,2020,1593
Komaram Bheem Asifabad,03-01-2020,March,2020,812
Komaram Bheem Asifabad,04-01-2020,April,2020,
Komaram Bheem Asifabad,05-01-2020,May,2020,
Komaram Bheem Asifabad,06-01-2020,June,2020,60
Komaram Bheem Asifabad,07-01-2020,July,2020,56
Komaram Bheem Asifabad,08-01-2020,August,2020,55
Komaram Bheem Asifabad,09-01-2020,September,2020,165
Komaram Bheem Asifabad,10-01-2020,October,2020,533
Komaram Bheem Asifabad,11-01-2020,November,2020,637
Komaram Bheem Asifabad,12-01-2020,December,2020,649
Mahabubabad ,01-01-2020,January,2020,12290
Mahabubabad ,02-01-2020,February,2020,12180
Mahabubabad ,03-01-2020,March,2020,8300
Mahabubabad ,04-01-2020,April,2020,
Mahabubabad ,05-01-2020,May,2020,
Mahabubabad ,06-01-2020,June,2020,
Mahabubabad ,07-01-2020,July,2020,1400
Mahabubabad ,08-01-2020,August,2020,1800
Mahabubabad ,09-01-2020,September,2020,1950
Mahabubabad ,10-01-2020,October,2020,2200
Mahabubabad ,11-01-2020,November,2020,3450
Mahabubabad ,12-01-2020,December,2020,3370
Mahbubnagar,01-01-2020,January,2020,122530
Mahbubnagar,02-01-2020,February,2020,552303
Mahbubnagar,03-01-2020,March,2020,25577
Mahbubnagar,04-01-2020,April,2020,
Mahbubnagar,05-01-2020,May,2020,
Mahbubnagar,06-01-2020,June,2020,20956
Mahbubnagar,07-01-2020,July,2020,60255
Mahbubnagar,08-01-2020,August,2020,73928
