District,Date,Month,Year,Visitors
Mahbubnagar,04-01-2021,April,2021,270751
Mahbubnagar,05-01-2021,May,2021,5264
Mahbubnagar,06-01-2021,June,2021,32923
Mahbubnagar,07-01-2021,July,2021,300593
Mahbubnagar,08-01-2021,August,2021,299804
Mahbubnagar,09-01-2021,September,2021,250520
Mahbubnagar,10-01-2021,October,2021,208937
Mahbubnagar,11-01-2021,November,2021,675277
Mahbubnagar,12-01-2021,December,2021,205813
Mancherial,01-01-2021,January,2021,14998
Mancherial,02-01-2021,February,2021,12438
Mancherial,03-01-2021,March,2021,7304
Mancherial,04-01-2021,April,2021,6000
Mancherial,05-01-2021,May,2021,1466
Mancherial,06-01-2021,June,2021,1503
Mancherial,07-01-2021,July,2021,4134
Mancherial,08-01-2021,August,2021,7294
Mancherial,09-01-2021,September,2021,5668
Mancherial,10-01-2021,October,2021,5130
Mancherial,11-01-2021,November,2021,5988
Mancherial,12-01-2021,December,2021,9372
Medak,01-01-2021,January,2021,48000
Medak,02-01-2021,February,2021,44000
Medak,03-01-2021,March,2021,49000
Medak,04-01-2021,April,2021,39000
Medak,05-01-2021,May,2021,4000
Medak,06-01-2021,June,2021,15000
Medak,07-01-2021,July,2021,16000
Medak,08-01-2021,August,2021,33500
Medak,09-01-2021,September,2021,15500
Medak,10-01-2021,October,2021,17500
Medak,11-01-2021,November,2021,20000
Medak,12-01-2021,December,2021,16350
Mulugu,01-01-2021,January,2021,61800
Mulugu,02-01-2021,February,2021,62400
Mulugu,03-01-2021,March,2021,65550
Mulugu,04-01-2021,April,2021,65650
Mulugu,05-01-2021,May,2021,19850
Mulugu,06-01-2021,June,2021,19850
Mulugu,07-01-2021,July,2021,36800
Mulugu,08-01-2021,August,2021,44050
Mulugu,09-01-2021,September,2021,47055
Mulugu,10-01-2021,October,2021,41000
Mulugu,11-01-2021,November,2021,51060
Mulugu,12-01-2021,December,2021,45550
Nagarkurnool,01-01-2021,January,2021,88188
Nagarkurnool,02-01-2021,February,2021,84801
Nagarkurnool,03-01-2021,March,2021,82629
Nagarkurnool,04-01-2021,April,2021,85938
Nagarkurnool,05-01-2021,May,2021,900
Nagarkurnool,06-01-2021,June,2021,31800
Nagarkurnool,07-01-2021,July,2021,114690
Nagarkurnool,08-01-2021,August,2021,123210
Nagarkurnool,09-01-2021,September,2021,104510
Nagarkurnool,10-01-2021,October,2021,91559
Nagarkurnool,11-01-2021,November,2021,117740
Nagarkurnool,12-01-2021,December,2021,111530
Nalgonda & Suryapet,01-01-2021,January,2021,9097
Nalgonda & Suryapet,02-01-2021,February,2021,6126
Nalgonda & Suryapet,03-01-2021,March,2021,5729
Nalgonda & Suryapet,04-01-2021,April,2021,1033
Nalgonda & Suryapet,05-01-2021,May,2021,148
Nalgonda & Suryapet,06-01-2021,June,2021,1044
Nalgonda & Suryapet,07-01-2021,July,2021,6744
Nalgonda & Suryapet,08-01-2021,August,2021,7852
Nalgonda & Suryapet,09-01-2021,September,2021,21650
Nalgonda & Suryapet,10-01-2021,October,2021,14431
Nalgonda & Suryapet,11-01-2021,November,2021,7684
Nalgonda & Suryapet,12-01-2021,December,2021,12528
Narayanapet,01-01-2021,January,2021,45720
Narayanapet,02-01-2021,February,2021,34377
Narayanapet,03-01-2021,March,2021,34327
Narayanapet,04-01-2021,April,2021,24289
Narayanapet,05-01-2021,May,2021,328
Narayanapet,06-01-2021,June,2021,6010
Narayanapet,07-01-2021,July,2021,26950
Narayanapet,08-01-2021,August,2021,24200
Narayanapet,09-01-2021,September,2021,19500
Narayanapet,10-01-2021,October,2021,23700
Narayanapet,11-01-2021,November,2021,27400
Narayanapet,12-01-2021,December,2021,24250
Nirmal,01-01-2021,January,2021,154786
Nirmal,02-01-2021,February,2021,225686
Nirmal,03-01-2021,March,2021,205287
Nirmal,04-01-2021,April,2021,125395
Nirmal,05-01-2021,May,2021,25969
Nirmal,06-01-2021,June,2021,7048
Nirmal,07-01-2021,July,2021,125523
Nirmal,08-01-2021,August,2021,173301
Nirmal,09-01-2021,September,2021,225421
Nirmal,10-01-2021,October,2021,265203
Nirmal,11-01-2021,November,2021,228200
Nirmal,12-01-2021,December,2021,195660
Nizamabad,01-01-2021,January,2021,9450
Nizamabad,02-01-2021,February,2021,50500
Nizamabad,03-01-2021,March,2021,61080
Nizamabad,04-01-2021,April,2021,30430
Nizamabad,05-01-2021,May,2021,0
Nizamabad,06-01-2021,June,2021,2020
Nizamabad,07-01-2021,July,2021,14050
Nizamabad,08-01-2021,August,2021,19580
Nizamabad,09-01-2021,September,2021,12580
Nizamabad,10-01-2021,October,2021,13600
Nizamabad,11-01-2021,November,2021,19090
Nizamabad,12-01-2021,December,2021,10120
Peddapalli,01-01-2021,January,2021,1150
Peddapalli,02-01-2021,February,2021,1245
Peddapalli,03-01-2021,March,2021,2610
Peddapalli,04-01-2021,April,2021,3405
Peddapalli,05-01-2021,May,2021,355
Peddapalli,06-01-2021,June,2021,420
Peddapalli,07-01-2021,July,2021,550
Peddapalli,08-01-2021,August,2021,779
Peddapalli,09-01-2021,September,2021,660
Peddapalli,10-01-2021,October,2021,650
Peddapalli,11-01-2021,November,2021,1630
Peddapalli,12-01-2021,December,2021,1840
RajanuaSircilla,01-01-2021,January,2021,656423
RajanuaSircilla,02-01-2021,February,2021,571526
RajanuaSircilla,03-01-2021,March,2021,868764
RajanuaSircilla,04-01-2021,April,2021,198252
RajanuaSircilla,05-01-2021,May,2021,23978
RajanuaSircilla,06-01-2021,June,2021,125913
RajanuaSircilla,07-01-2021,July,2021,290935
RajanuaSircilla,08-01-2021,August,2021,518772
RajanuaSircilla,09-01-2021,September,2021,388599
RajanuaSircilla,10-01-2021,October,2021,355757
RajanuaSircilla,11-01-2021,November,2021,567535
RajanuaSircilla,12-01-2021,December,2021,606628
Sangareddy,01-01-2021,January,2021,112500
Sangareddy,02-01-2021,February,2021,103200
Sangareddy,03-01-2021,March,2021,274500
Sangareddy,04-01-2021,April,2021,117300
Sangareddy,05-01-2021,May,2021,15000
Sangareddy,06-01-2021,June,2021,26500
Sangareddy,07-01-2021,July,2021,33000
Sangareddy,08-01-2021,August,2021,64900
Sangareddy,09-01-2021,September,2021,47700
Sangareddy,10-01-2021,October,2021,50000
Sangareddy,11-01-2021,November,2021,56150
Sangareddy,12-01-2021,December,2021,38750
Siddipet,01-01-2021,January,2021,173749
Siddipet,02-01-2021,February,2021,107247
Siddipet,03-01-2021,March,2021,70337
Siddipet,04-01-2021,April,2021,61534
Siddipet,05-01-2021,May,2021,9000
Siddipet,06-01-2021,June,2021,37700
Siddipet,07-01-2021,July,2021,37000
Siddipet,08-01-2021,August,2021,70000
Siddipet,09-01-2021,September,2021,59000
Siddipet,10-01-2021,October,2021,90000
Siddipet,11-01-2021,November,2021,93500
Siddipet,12-01-2021,December,2021,90350
Wanaparthy,01-01-2021,January,2021,22482
Wanaparthy,02-01-2021,February,2021,22524
Wanaparthy,03-01-2021,March,2021,19672
Wanaparthy,04-01-2021,April,2021,25212
Wanaparthy,05-01-2021,May,2021,295
Wanaparthy,06-01-2021,June,2021,600
Wanaparthy,07-01-2021,July,2021,29300
Wanaparthy,08-01-2021,August,2021,33300
Wanaparthy,09-01-2021,September,2021,22800
Wanaparthy,10-01-2021,October,2021,23700
Wanaparthy,11-01-2021,November,2021,29330
Wanaparthy,12-01-2021,December,2021,28100
Warangal,01-01-2021,January,2021,7450
Warangal,02-01-2021,February,2021,7470
Warangal,03-01-2021,March,2021,7500
Warangal,04-01-2021,April,2021,7510
Warangal,05-01-2021,May,2021,560
Warangal,06-01-2021,June,2021,550
Warangal,07-01-2021,July,2021,3400
Warangal,08-01-2021,August,2021,5610
Warangal,09-01-2021,September,2021,5610
Warangal,10-01-2021,October,2021,5820
Warangal,11-01-2021,November,2021,6230
Warangal,12-01-2021,December,2021,5690
Yadadri Bhongir,01-01-2021,January,2021,281131
Yadadri Bhongir,02-01-2021,February,2021,265238
Yadadri Bhongir,03-01-2021,March,2021,261920
Yadadri Bhongir,04-01-2021,April,2021,621
Yadadri Bhongir,05-01-2021,May,2021,275
Yadadri Bhongir,06-01-2021,June,2021,153020
Yadadri Bhongir,07-01-2021,July,2021,312343
Yadadri Bhongir,08-01-2021,August,2021,269850
Yadadri Bhongir,09-01-2021,September,2021,169532
Yadadri Bhongir,10-01-2021,October,2021,170613
Yadadri Bhongir,11-01-2021,November,2021,242245
Yadadri Bhongir,12-01-2021,December,2021,231306
