District,Date,Month,Year,Visitors
Adilabad,01-01-2021,January,2021,18203
Adilabad,02-01-2021,February,2021,271255
Adilabad,03-01-2021,March,2021,15907
Adilabad,04-01-2021,April,2021,6955
Adilabad,05-01-2021,May,2021,1191
Adilabad,06-01-2021,June,2021,3407
Adilabad,07-01-2021,July,2021,26885
Adilabad,08-01-2021,August,2021,25338
Adilabad,09-01-2021,September,2021,17672
Adilabad,10-01-2021,October,2021,16095
Adilabad,11-01-2021,November,2021,73753
Adilabad,12-01-2021,December,2021,18484
Bhadradri Kothagudem,01-01-2021,January,2021,199340
Bhadradri Kothagudem,02-01-2021,February,2021,163761
Bhadradri Kothagudem,03-01-2021,March,2021,83871
Bhadradri Kothagudem,04-01-2021,April,2021,38456
Bhadradri Kothagudem,05-01-2021,May,2021,9329
Bhadradri Kothagudem,06-01-2021,June,2021,20090
Bhadradri Kothagudem,07-01-2021,July,2021,63082
Bhadradri Kothagudem,08-01-2021,August,2021,70386
Bhadradri Kothagudem,09-01-2021,September,2021,88451
Bhadradri Kothagudem,10-01-2021,October,2021,104063
Bhadradri Kothagudem,11-01-2021,November,2021,84828
Bhadradri Kothagudem,12-01-2021,December,2021,105685
Hanumakonda,01-01-2021,January,2021,90800
Hanumakonda,02-01-2021,February,2021,89900
Hanumakonda,03-01-2021,March,2021,91970
Hanumakonda,04-01-2021,April,2021,89430
Hanumakonda,05-01-2021,May,2021,14510
Hanumakonda,06-01-2021,June,2021,10050
Hanumakonda,07-01-2021,July,2021,40670
Hanumakonda,08-01-2021,August,2021,39220
Hanumakonda,09-01-2021,September,2021,42340
Hanumakonda,10-01-2021,October,2021,38650
Hanumakonda,11-01-2021,November,2021,37910
Hanumakonda,12-01-2021,December,2021,38125
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",01-01-2021,January,2021,828057
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",02-01-2021,February,2021,657955
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",03-01-2021,March,2021,589239
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",04-01-2021,April,2021,216683
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",05-01-2021,May,2021,50064
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",06-01-2021,June,2021,205368
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",07-01-2021,July,2021,384455
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",08-01-2021,August,2021,603815
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",09-01-2021,September,2021,533745
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",10-01-2021,October,2021,743442
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",11-01-2021,November,2021,938466
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",12-01-2021,December,2021,1042809
Jagtial,01-01-2021,January,2021,154626
Jagtial,02-01-2021,February,2021,155602
Jagtial,03-01-2021,March,2021,303738
Jagtial,04-01-2021,April,2021,74401
Jagtial,05-01-2021,May,2021,2555
Jagtial,06-01-2021,June,2021,43196
Jagtial,07-01-2021,July,2021,187220
Jagtial,08-01-2021,August,2021,191483
Jagtial,09-01-2021,September,2021,169440
Jagtial,10-01-2021,October,2021,172570
Jagtial,11-01-2021,November,2021,260498
Jagtial,12-01-2021,December,2021,255232
Jangaon,01-01-2021,January,2021,11545
Jangaon,02-01-2021,February,2021,11440
Jangaon,03-01-2021,March,2021,11950
Jangaon,04-01-2021,April,2021,10340
Jangaon,05-01-2021,May,2021,3275
Jangaon,06-01-2021,June,2021,2470
Jangaon,07-01-2021,July,2021,6580
Jangaon,08-01-2021,August,2021,7085
Jangaon,09-01-2021,September,2021,7180
Jangaon,10-01-2021,October,2021,10360
Jangaon,11-01-2021,November,2021,6140
Jangaon,12-01-2021,December,2021,6140
Jayashankar Bhoopalpally,01-01-2021,January,2021,15700
Jayashankar Bhoopalpally,02-01-2021,February,2021,15800
Jayashankar Bhoopalpally,03-01-2021,March,2021,16400
Jayashankar Bhoopalpally,04-01-2021,April,2021,14900
Jayashankar Bhoopalpally,05-01-2021,May,2021,5600
Jayashankar Bhoopalpally,06-01-2021,June,2021,4400
Jayashankar Bhoopalpally,07-01-2021,July,2021,9000
Jayashankar Bhoopalpally,08-01-2021,August,2021,10500
Jayashankar Bhoopalpally,09-01-2021,September,2021,10700
Jayashankar Bhoopalpally,10-01-2021,October,2021,11000
Jayashankar Bhoopalpally,11-01-2021,November,2021,10500
Jayashankar Bhoopalpally,12-01-2021,December,2021,10900
JogulambaGadwai,01-01-2021,January,2021,169350
JogulambaGadwai,02-01-2021,February,2021,400254
JogulambaGadwai,03-01-2021,March,2021,520014
JogulambaGadwai,04-01-2021,April,2021,248566
JogulambaGadwai,05-01-2021,May,2021,990
JogulambaGadwai,06-01-2021,June,2021,39894
JogulambaGadwai,07-01-2021,July,2021,278769
JogulambaGadwai,08-01-2021,August,2021,174508
JogulambaGadwai,09-01-2021,September,2021,154900
JogulambaGadwai,10-01-2021,October,2021,185052
JogulambaGadwai,11-01-2021,November,2021,220734
JogulambaGadwai,12-01-2021,December,2021,229051
Kamareddy,01-01-2021,January,2021,43
Kamareddy,02-01-2021,February,2021,40
Kamareddy,03-01-2021,March,2021,49
Kamareddy,04-01-2021,April,2021,26
Kamareddy,05-01-2021,May,2021,0
Kamareddy,06-01-2021,June,2021,24
Kamareddy,07-01-2021,July,2021,41
Kamareddy,08-01-2021,August,2021,48
Kamareddy,09-01-2021,September,2021,33
Kamareddy,10-01-2021,October,2021,40
Kamareddy,11-01-2021,November,2021,42
Kamareddy,12-01-2021,December,2021,45
Karimnagar,01-01-2021,January,2021,5965
Karimnagar,02-01-2021,February,2021,5670
Karimnagar,03-01-2021,March,2021,6800
Karimnagar,04-01-2021,April,2021,1924
Karimnagar,05-01-2021,May,2021,601
Karimnagar,06-01-2021,June,2021,450
Karimnagar,07-01-2021,July,2021,4750
Karimnagar,08-01-2021,August,2021,6320
Karimnagar,09-01-2021,September,2021,5475
Karimnagar,10-01-2021,October,2021,4410
Karimnagar,11-01-2021,November,2021,3525
Karimnagar,12-01-2021,December,2021,3750
Khammam,01-01-2021,January,2021,81711
Khammam,02-01-2021,February,2021,59065
Khammam,03-01-2021,March,2021,47862
Khammam,04-01-2021,April,2021,30882
Khammam,05-01-2021,May,2021,11240
Khammam,06-01-2021,June,2021,12443
Khammam,07-01-2021,July,2021,19400
Khammam,08-01-2021,August,2021,18781
Khammam,09-01-2021,September,2021,29256
Khammam,10-01-2021,October,2021,36965
Khammam,11-01-2021,November,2021,45533
Khammam,12-01-2021,December,2021,53316
KommramBheentAsifabad,01-01-2021,January,2021,410
KommramBheentAsifabad,02-01-2021,February,2021,466
KommramBheentAsifabad,03-01-2021,March,2021,491
KommramBheentAsifabad,04-01-2021,April,2021,349
KommramBheentAsifabad,05-01-2021,May,2021,88
KommramBheentAsifabad,06-01-2021,June,2021,128
KommramBheentAsifabad,07-01-2021,July,2021,154
KommramBheentAsifabad,08-01-2021,August,2021,175
KommramBheentAsifabad,09-01-2021,September,2021,176
KommramBheentAsifabad,10-01-2021,October,2021,21030
KommramBheentAsifabad,11-01-2021,November,2021,371
KommramBheentAsifabad,12-01-2021,December,2021,587
Mahabubabad,01-01-2021,January,2021,3060
Mahabubabad,02-01-2021,February,2021,3155
Mahabubabad,03-01-2021,March,2021,3320
Mahabubabad,04-01-2021,April,2021,3240
Mahabubabad,05-01-2021,May,2021,940
Mahabubabad,06-01-2021,June,2021,880
Mahabubabad,07-01-2021,July,2021,1970
Mahabubabad,08-01-2021,August,2021,3480
Mahabubabad,09-01-2021,September,2021,3420
Mahabubabad,10-01-2021,October,2021,3505
Mahabubabad,11-01-2021,November,2021,3470
Mahabubabad,12-01-2021,December,2021,3480
Mahbubnagar,01-01-2021,January,2021,112443
Mahbubnagar,02-01-2021,February,2021,653029
Mahbubnagar,03-01-2021,March,2021,375235
